日期,金额,方向,描述,原始分类
2026-01-03,-4200,支出,房租,转账
2026-01-05,-856,支出,盒马生鲜超市,消费
2026-01-08,+28000,收入,工资-极光科技,工资
2026-01-10,-299,支出,爱奇艺会员年费,消费
2026-01-12,-2400,支出,健身房年卡,消费
2026-01-15,-1200,支出,滴滴打车,消费
2026-01-16,-680,支出,美团外卖,消费
2026-01-18,-450,支出,超市采购,消费
2026-01-20,-128,支出,星巴克咖啡,消费
2026-01-22,+5000,收入,稿费-极客公园,副业
2026-01-23,-320,支出,地铁月票,消费
2026-01-25,-2100,支出,餐厅聚餐,消费
2026-01-26,-199,支出,Netflix会员月费,消费
2026-01-28,-560,支出,网上购物-京东,消费
2026-01-30,-95,支出,打车-高德,消费
2026-02-03,-4200,支出,房租,转账
2026-02-05,-1240,支出,超市采购,消费
2026-02-08,+28000,收入,工资-极光科技,工资
2026-02-10,-199,支出,爱奇艺会员年费,消费
2026-02-12,-520,支出,美团外卖,消费
2026-02-14,-1800,支出,情人节晚餐,消费
2026-02-16,-360,支出,地铁出行,消费
2026-02-18,-88,支出,微信读书年卡,消费
2026-02-20,-650,支出,服装购物,消费
2026-02-22,+3000,收入,设计兼职收入,副业
2026-02-23,-450,支出,咖啡店,消费
2026-02-24,-1560,支出,餐厅聚餐,消费
2026-02-25,-199,支出,Netflix会员月费,消费
2026-02-26,-280,支出,出行打车,消费
2026-02-28,-1200,支出,朋友借款还款,其他
2026-03-03,-4200,支出,房租,转账
2026-03-05,-980,支出,超市采购,消费
2026-03-08,+28000,收入,工资-极光科技,工资
2026-03-10,-299,支出,爱奇艺会员年费,消费
2026-03-12,-320,支出,美团外卖,消费
2026-03-14,-712,支出,朋友聚餐,消费
2026-03-15,-450,支出,书籍购买,消费
2026-03-16,-199,支出,Netflix会员月费,消费
2026-03-18,+8000,收入,年终奖-极光科技,奖金
2026-03-18,-480,支出,出行打车,消费
2026-03-20,-1800,支出,超市大采购,消费
2026-03-22,-360,支出,餐厅就餐,消费
2026-03-24,-512,支出,电商购物-淘宝,消费
2026-03-25,-120,支出,咖啡,消费
2026-03-26,-88,支出,音乐会员月费,消费
2026-03-28,-650,支出,聚餐娱乐,消费
2026-03-30,-200,支出,杂项支出,其他
