账号,平台,周次,发布篇数,总曝光,总阅读,总点赞,总评论,总转发,新增粉丝,取关人数
极光科技官号,微信公众号,2025W01,4,28000,12400,380,92,145,210,18
极光科技官号,微信公众号,2025W02,4,31000,14200,420,108,167,245,21
极光科技官号,微信公众号,2025W03,4,29500,13100,395,98,152,198,19
极光科技官号,微信公众号,2025W04,5,38000,17800,510,142,198,312,24
极光科技官号,微信公众号,2025W05,4,27000,11200,290,61,98,143,31
极光科技官号,微信公众号,2025W06,4,26500,10800,275,58,94,128,35
极光科技官号,小红书,2025W01,7,45000,18200,1240,380,520,680,42
极光科技官号,小红书,2025W02,7,48000,19600,1380,420,570,720,38
极光科技官号,小红书,2025W03,7,46000,18800,1290,395,540,695,45
极光科技官号,小红书,2025W04,8,92000,38400,3200,980,1420,1850,52
极光科技官号,小红书,2025W05,7,41000,16200,1050,310,460,580,68
极光科技官号,小红书,2025W06,7,39000,15400,980,285,430,540,72
极光科技官号,抖音,2025W01,3,82000,34000,2800,640,1200,1420,95
极光科技官号,抖音,2025W02,3,88000,37000,3100,720,1350,1580,88
极光科技官号,抖音,2025W03,3,85000,35500,2950,680,1270,1490,102
极光科技官号,抖音,2025W04,3,86000,36200,3050,700,1300,1510,98
极光科技官号,抖音,2025W05,3,84000,34800,2880,655,1220,1450,105
极光科技官号,抖音,2025W06,3,83000,34200,2820,635,1190,1410,108
